month,order_count,total_revenue
2016-09-01,4,132.39
2016-10-01,324,40280.32
2016-12-01,1,10.9
2017-01-01,800,104155.1
2017-02-01,1780,198449.83
2017-03-01,2682,310392.22000000003
2017-04-01,2404,292052.89
2017-05-01,3700,425355.38
2017-06-01,3245,358301.28
2017-07-01,4026,452386.49
2017-08-01,4331,491934.8
2017-09-01,4285,509822.52
2017-10-01,4631,552925.83
2017-11-01,7544,876198.91
2017-12-01,5673,651834.52
2018-01-01,7269,845011.75
2018-02-01,6728,769736.56
2018-03-01,7211,846542.05
2018-04-01,6939,816500.47
2018-05-01,6873,814484.33
2018-06-01,6167,726594.73
2018-07-01,6292,731729.51
2018-08-01,6512,718002.54
2018-09-01,16,145.0
2018-10-01,4,0.0
